Frame,Speed,Date,Time,Km marker
252,215,18/10/2023,16:00:30,020+961
253,215,18/10/2023,16:00:30,020+966
254,215,18/10/2023,16:00:30,020+971
255,215,18/10/2023,16:00:30,020+971
256,215,18/10/2023,16:00:30,020+976
257,215,18/10/2023,16:00:30,020+981
258,215,18/10/2023,16:00:30,020+981
259,215,18/10/2023,16:00:30,020+986
260,215,18/10/2023,16:00:30,020+991
261,215,18/10/2023,16:00:30,020+996
262,215,18/10/2023,16:00:30,020+996
263,215,18/10/2023,16:00:30,021+001
264,215,18/10/2023,16:00:31,021+006
265,215,18/10/2023,16:00:31,021+006
266,215,18/10/2023,16:00:31,021+011
267,215,18/10/2023,16:00:31,021+016
268,215,18/10/2023,16:00:31,021+016
269,215,18/10/2023,16:00:31,021+021
270,215,18/10/2023,16:00:31,021+026
271,215,18/10/2023,16:00:31,021+026
272,215,18/10/2023,16:00:31,021+031
273,215,18/10/2023,16:00:31,021+036
274,215,18/10/2023,16:00:31,021+041
275,215,18/10/2023,16:00:31,021+041
276,216,18/10/2023,16:00:31,021+046
277,216,18/10/2023,16:00:31,021+051
278,216,18/10/2023,16:00:31,021+051
279,216,18/10/2023,16:00:31,021+056
280,216,18/10/2023,16:00:31,021+061
281,216,18/10/2023,16:00:31,021+061
282,216,18/10/2023,16:00:32,021+066
283,216,18/10/2023,16:00:32,021+071
284,216,18/10/2023,16:00:32,021+071
285,216,18/10/2023,16:00:32,021+076
286,216,18/10/2023,16:00:32,021+081
287,216,18/10/2023,16:00:32,021+086
288,216,18/10/2023,16:00:32,021+086
289,216,18/10/2023,16:00:32,021+091
290,216,18/10/2023,16:00:32,021+096
291,216,18/10/2023,16:00:32,021+096
292,216,18/10/2023,16:00:32,021+101
293,216,18/10/2023,16:00:32,021+106
294,216,18/10/2023,16:00:32,021+106
295,216,18/10/2023,16:00:32,021+111
296,216,18/10/2023,16:00:32,021+116
297,216,18/10/2023,16:00:32,021+116
298,216,18/10/2023,16:00:32,021+121
299,216,18/10/2023,16:00:33,021+126
300,216,18/10/2023,16:00:33,021+131
301,216,18/10/2023,16:00:33,021+131
302,216,18/10/2023,16:00:33,021+136
303,216,18/10/2023,16:00:33,021+141
304,216,18/10/2023,16:00:33,021+141
305,217,18/10/2023,16:00:33,021+146
306,217,18/10/2023,16:00:33,021+151
307,217,18/10/2023,16:00:33,021+151
308,217,18/10/2023,16:00:33,021+156
