frame,speed,date,time,marker
321,217,18/10/2023,16:00:34,021+001
322,217,18/10/2023,16:00:34,021+006
323,217,18/10/2023,16:00:34,021+006
324,217,18/10/2023,16:00:34,021+011
325,217,18/10/2023,16:00:34,021+016
326,217,18/10/2023,16:00:34,021+016
327,218,18/10/2023,16:00:34,021+021
328,218,18/10/2023,16:00:34,021+026
329,218,18/10/2023,16:00:34,021+026
330,218,18/10/2023,16:00:34,021+031
331,218,18/10/2023,16:00:34,021+036
332,218,18/10/2023,16:00:34,021+041
333,218,18/10/2023,16:00:34,021+041
334,218,18/10/2023,16:00:35,021+046
335,218,18/10/2023,16:00:35,021+051
336,218,18/10/2023,16:00:35,021+051
337,218,18/10/2023,16:00:35,021+056
338,218,18/10/2023,16:00:35,021+061
339,218,18/10/2023,16:00:35,021+061
340,218,18/10/2023,16:00:35,021+066
341,218,18/10/2023,16:00:35,021+071
342,218,18/10/2023,16:00:35,021+076
343,218,18/10/2023,16:00:35,021+076
344,218,18/10/2023,16:00:35,021+081
345,218,18/10/2023,16:00:35,021+086
346,218,18/10/2023,16:00:35,021+086
347,218,18/10/2023,16:00:35,021+091
348,219,18/10/2023,16:00:35,021+096
349,219,18/10/2023,16:00:35,021+101
350,219,18/10/2023,16:00:35,021+101
351,219,18/10/2023,16:00:36,021+106
352,219,18/10/2023,16:00:36,021+111
353,219,18/10/2023,16:00:36,021+111
354,219,18/10/2023,16:00:36,021+116
355,219,18/10/2023,16:00:36,021+121
356,219,18/10/2023,16:00:36,021+121
357,219,18/10/2023,16:00:36,021+126
358,219,18/10/2023,16:00:36,021+131
359,219,18/10/2023,16:00:36,021+136
360,219,18/10/2023,16:00:36,021+136
361,219,18/10/2023,16:00:36,021+141
362,219,18/10/2023,16:00:36,021+146
363,219,18/10/2023,16:00:36,021+146
364,219,18/10/2023,16:00:36,021+151
365,219,18/10/2023,16:00:36,021+156
366,219,18/10/2023,16:00:36,021+161
367,219,18/10/2023,16:00:36,021+161
368,220,18/10/2023,16:00:37,021+166
369,220,18/10/2023,16:00:37,021+171
370,220,18/10/2023,16:00:37,021+171
371,220,18/10/2023,16:00:37,021+176
372,220,18/10/2023,16:00:37,021+181
373,220,18/10/2023,16:00:37,021+181
374,220,18/10/2023,16:00:37,021+186
375,220,18/10/2023,16:00:37,021+191
376,220,18/10/2023,16:00:37,021+196
377,220,18/10/2023,16:00:37,021+196
378,220,18/10/2023,16:00:37,021+201
379,220,18/10/2023,16:00:37,021+206
380,220,18/10/2023,16:00:37,021+206
381,220,18/10/2023,16:00:37,021+211
382,220,18/10/2023,16:00:37,021+216
383,220,18/10/2023,16:00:37,021+221
384,220,18/10/2023,16:00:37,021+221
385,220,18/10/2023,16:00:37,021+226
386,220,18/10/2023,16:00:38,021+231
387,220,18/10/2023,16:00:38,021+231
388,220,18/10/2023,16:00:38,021+236
389,221,18/10/2023,16:00:38,021+241
390,221,18/10/2023,16:00:38,021+246
391,221,18/10/2023,16:00:38,021+246
392,221,18/10/2023,16:00:38,021+251
393,221,18/10/2023,16:00:38,021+256
394,221,18/10/2023,16:00:38,021+256
395,221,18/10/2023,16:00:38,021+261
396,221,18/10/2023,16:00:38,021+266
397,221,18/10/2023,16:00:38,021+271
398,221,18/10/2023,16:00:38,021+271
399,221,18/10/2023,16:00:38,021+276
400,221,18/10/2023,16:00:38,021+281
401,221,18/10/2023,16:00:38,021+281
402,221,18/10/2023,16:00:38,021+286
403,221,18/10/2023,16:00:39,021+291
404,221,18/10/2023,16:00:39,021+296
405,221,18/10/2023,16:00:39,021+296
406,221,18/10/2023,16:00:39,021+301
407,221,18/10/2023,16:00:39,021+306
408,221,18/10/2023,16:00:39,021+306
409,222,18/10/2023,16:00:39,021+311
410,222,18/10/2023,16:00:39,021+316
411,222,18/10/2023,16:00:39,021+316
412,222,18/10/2023,16:00:39,021+321
413,222,18/10/2023,16:00:39,021+326
414,222,18/10/2023,16:00:39,021+331
415,222,18/10/2023,16:00:39,021+331
416,222,18/10/2023,16:00:39,021+336
417,222,18/10/2023,16:00:39,021+341
418,222,18/10/2023,16:00:39,021+346
419,222,18/10/2023,16:00:39,021+346
420,222,18/10/2023,16:00:40,021+351
421,222,18/10/2023,16:00:40,021+356
422,222,18/10/2023,16:00:40,021+356
423,222,18/10/2023,16:00:40,021+361
424,222,18/10/2023,16:00:40,021+366
425,222,18/10/2023,16:00:40,021+371
426,222,18/10/2023,16:00:40,021+371
427,222,18/10/2023,16:00:40,021+376
428,222,18/10/2023,16:00:40,021+381
429,222,18/10/2023,16:00:40,021+381
430,223,18/10/2023,16:00:40,021+386
431,223,18/10/2023,16:00:40,021+391
432,223,18/10/2023,16:00:40,021+396
433,223,18/10/2023,16:00:40,021+396
434,223,18/10/2023,16:00:40,021+401
435,223,18/10/2023,16:00:40,021+406
436,223,18/10/2023,16:00:40,021+406
437,223,18/10/2023,16:00:40,021+411
438,223,18/10/2023,16:00:41,021+416
439,223,18/10/2023,16:00:41,021+421
440,223,18/10/2023,16:00:41,021+421
441,223,18/10/2023,16:00:41,021+426
442,223,18/10/2023,16:00:41,021+431
443,223,18/10/2023,16:00:41,021+431
444,223,18/10/2023,16:00:41,021+436
445,223,18/10/2023,16:00:41,021+441
446,223,18/10/2023,16:00:41,021+446
447,223,18/10/2023,16:00:41,021+446
448,223,18/10/2023,16:00:41,021+451
449,224,18/10/2023,16:00:41,021+456
450,224,18/10/2023,16:00:41,021+461
451,224,18/10/2023,16:00:41,021+461
452,224,18/10/2023,16:00:41,021+466
453,224,18/10/2023,16:00:41,021+471
454,224,18/10/2023,16:00:41,021+471
455,224,18/10/2023,16:00:42,021+476
456,224,18/10/2023,16:00:42,021+481
457,224,18/10/2023,16:00:42,021+486
458,224,18/10/2023,16:00:42,021+486
459,224,18/10/2023,16:00:42,021+491
460,224,18/10/2023,16:00:42,021+496
461,224,18/10/2023,16:00:42,021+496
462,224,18/10/2023,16:00:42,021+501
463,224,18/10/2023,16:00:42,021+506
464,224,18/10/2023,16:00:42,021+511
465,224,18/10/2023,16:00:42,021+511
466,224,18/10/2023,16:00:42,021+516
467,224,18/10/2023,16:00:42,021+521
468,224,18/10/2023,16:00:42,021+521
469,225,18/10/2023,16:00:42,021+526
470,225,18/10/2023,16:00:42,021+531
471,225,18/10/2023,16:00:42,021+531
472,225,18/10/2023,16:00:42,021+536
473,225,18/10/2023,16:00:43,021+541
474,225,18/10/2023,16:00:43,021+546
475,225,18/10/2023,16:00:43,021+551
476,225,18/10/2023,16:00:43,021+551
477,225,18/10/2023,16:00:43,021+556
478,225,18/10/2023,16:00:43,021+561
479,225,18/10/2023,16:00:43,021+561
480,225,18/10/2023,16:00:43,021+566
481,225,18/10/2023,16:00:43,021+571
482,225,18/10/2023,16:00:43,021+576
483,225,18/10/2023,16:00:43,021+576
484,225,18/10/2023,16:00:43,021+581
485,225,18/10/2023,16:00:43,021+586
486,225,18/10/2023,16:00:43,021+591
487,225,18/10/2023,16:00:43,021+591
488,226,18/10/2023,16:00:43,021+596
489,226,18/10/2023,16:00:44,021+601
490,226,18/10/2023,16:00:44,021+601
491,226,18/10/2023,16:00:44,021+606
492,226,18/10/2023,16:00:44,021+611
493,226,18/10/2023,16:00:44,021+616
494,226,18/10/2023,16:00:44,021+616
495,226,18/10/2023,16:00:44,021+621
496,226,18/10/2023,16:00:44,021+626
497,226,18/10/2023,16:00:44,021+631
498,226,18/10/2023,16:00:44,021+631
499,226,18/10/2023,16:00:44,021+636
500,226,18/10/2023,16:00:44,021+641
501,226,18/10/2023,16:00:44,021+641
